ASP-122952-01 Pin Number,HSMC Name,5CGXFC5C6F27C7N Pin,I/O Standard,HDL Name,FPGA Pin Direction,Max Switching Rate
91,LVDS_TXn7,PIN_A21,LVDS,SYNCIN_N,output,1 Hz
92,LVDS_RXn7,PIN_F12,LVDS,ADCA_DATA1_N,input,800 MHz
95,CLKOUT1p,PIN_A19,LVDS,DAC_DCLKIN_P,output,400 MHz
96,CLKIN1p,PIN_G15,LVDS,ADC_DCLKOUT_P,input,400 MHz
97,CLKOUT1n,PIN_A18,LVDS,DAC_DCLKIN_N,output,400 MHz
98,CLKIN1n,PIN_G14,LVDS,ADC_DCLKOUT_N,input,400 MHz
101,LVDS_TXp8,PIN_C13,2.5 V,UNUSED[12],inout,0 Hz
102,LVDS_RXp8,PIN_E18,2.5 V,FPGA_AFE_PDN,output,1 Hz
103,LVDS_TXn8,PIN_C12,2.5 V,UNUSED[13],inout,0 Hz
104,LVDS_RXn8,PIN_F18,2.5 V,FPGA_AFE_SEN,output,1 MHz
107,LVDS_TXp9,PIN_A8,2.5 V,UNUSED[14],inout,0 Hz
108,LVDS_RXp9,PIN_F16,2.5 V,FPGA_AFE_SDATA,output,20 MHz
109,LVDS_TXn9,PIN_A9,2.5 V,UNUSED[15],inout,0 Hz
110,LVDS_RXn9,PIN_E15,2.5 V,FPGA_AFE_SCLK,output,20 MHz
113,LVDS_TXp10,PIN_B12,2.5 V,UNUSED[16],inout,0 Hz
114,LVDS_RXp10,PIN_E13,2.5 V,FPGA_AFE_SDOUT,inout,20 MHz
115,LVDS_TXn10,PIN_A13,2.5 V,UNUSED[17],inout,0 Hz
116,LVDS_RXn10,PIN_D13,2.5 V,FPGA_AFE_RESET,output,0 Hz
119,LVDS_TXp11,PIN_C23,2.5 V,UNUSED[18],inout,0 Hz
120,LVDS_RXp11,PIN_C14,2.5 V,FPGA_CDCE_MOSI,output,20 MHz
121,LVDS_TXn11,PIN_C22,2.5 V,UNUSED[19],inout,0 Hz
122,LVDS_RXn11,PIN_D15,2.5 V,FPGA_CDCE_MISO,input,20 MHz
125,LVDS_TXp12,PIN_A14,2.5 V,UNUSED[20],inout,0 Hz
126,LVDS_RXp12,PIN_E16,2.5 V,FPGA_CDCE_PD,output,1 Hz
127,LVDS_TXn12,PIN_B14,2.5 V,UNUSED[21],inout,0 Hz
128,LVDS_RXn12,PIN_D16,2.5 V,FPGA_CDCE_SCLK,output,20 MHz
131,LVDS_TXp13,PIN_A23,2.5 V,UNUSED[22],inout,0 Hz
132,LVDS_RXp13,PIN_D18,2.5 V,FPGA_CDCE_LE,output,1 MHz
133,LVDS_TXn13,PIN_A22,2.5 V,UNUSED[23],inout,0 Hz
134,LVDS_RXn13,PIN_D17,2.5 V,FPGA_CDCE_PLL_LOCK,input,1 Hz
137,LVDS_TXp14,PIN_C17,2.5 V,UNUSED[24],inout,0 Hz
138,LVDS_RXp14,PIN_E20,2.5 V,FPGA_ADRF_DATA,output,20 MHz
139,LVDS_TXn14,PIN_B17,2.5 V,UNUSED[25],inout,0 Hz
140,LVDS_RXn14,PIN_E19,2.5 V,FPGA_AD5644R_CLK,input,20 MHz
143,LVDS_TXp15,PIN_C19,2.5 V,UNUSED[26],inout,0 Hz
144,LVDS_RXp15,PIN_D21,2.5 V,FPGA_AD5644R_SYNC,output,1 MHz
145,LVDS_TXn15,PIN_C18,2.5 V,UNUSED[27],inout,0 Hz
146,LVDS_RXn15,PIN_D20,2.5 V,FPGA_ADRF_LE,output,1 MHz
149,LVDS_TXp16,PIN_B21,2.5 V,UNUSED[28],inout,0 Hz
150,LVDS_RXp16,PIN_B24,2.5 V,FPGA_ADRF_CLK,output,20 MHz
151,LVDS_TXn16,PIN_B20,2.5 V,UNUSED[29],inout,0 Hz
152,LVDS_RXn16,PIN_A24,2.5 V,FPGA_ADRF_SDO,input,20 MHz
155,CLKOUT2p,PIN_A17,2.5 V,HSMC_CLKOUT2_P,output,125 MHz
156,CLKIN2p,PIN_L8,LVDS,FPGA_REF_CLK_P,input,125 MHz
157,CLKOUT2n,PIN_A16,2.5 V,HSMC_CLKOUT2_N,output,125 MHz
158,CLKIN2n,PIN_K9,LVDS,FPGA_REF_CLK_N,input,125 MHz
