ASP-122952-01 Pin Number,HSMC Name,5CGXFC5C6F27C7N Pin,I/O Standard,HDL Name,FPGA Pin Direction
95,CLKOUT1p,PIN_A19,2.5 V,HSMC_CLKOUT_P[1],output
96,CLKIN1p,PIN_G15,2.5 V,HSMC_CLKIN_P[1],input
97,CLKOUT1n,PIN_A18,2.5 V,HSMC_CLKOUT_N[1],output
98,CLKIN1n,PIN_G14,2.5 V,HSMC_CLKIN_N[1],input
101,LVDS_TXp8,PIN_C13,2.5 V,HSMC_TX_P[8],inout
102,LVDS_RXp8,PIN_E18,2.5 V,HSMC_RX_P[8],inout
103,LVDS_TXn8,PIN_C12,2.5 V,HSMC_TX_N[8],inout
104,LVDS_RXn8,PIN_F18,2.5 V,HSMC_RX_N[8],inout
107,LVDS_TXp9,PIN_A8,2.5 V,HSMC_TX_P[9],inout
108,LVDS_RXp9,PIN_F16,2.5 V,HSMC_RX_P[9],inout
109,LVDS_TXn9,PIN_A9,2.5 V,HSMC_TX_N[9],inout
110,LVDS_RXn9,PIN_E15,2.5 V,HSMC_RX_N[9],inout
113,LVDS_TXp10,PIN_B12,2.5 V,HSMC_TX_P[10],inout
114,LVDS_RXp10,PIN_E13,2.5 V,HSMC_RX_P[10],inout
115,LVDS_TXn10,PIN_A13,2.5 V,HSMC_TX_N[10],inout
116,LVDS_RXn10,PIN_D13,2.5 V,HSMC_RX_N[10],inout
119,LVDS_TXp11,PIN_C23,2.5 V,HSMC_TX_P[11],inout
120,LVDS_RXp11,PIN_C14,2.5 V,HSMC_RX_P[11],inout
121,LVDS_TXn11,PIN_C22,2.5 V,HSMC_TX_N[11],inout
122,LVDS_RXn11,PIN_D15,2.5 V,HSMC_RX_N[11],inout
125,LVDS_TXp12,PIN_A14,2.5 V,HSMC_TX_P[12],inout
126,LVDS_RXp12,PIN_E16,2.5 V,HSMC_RX_P[12],inout
127,LVDS_TXn12,PIN_B14,2.5 V,HSMC_TX_N[12],inout
128,LVDS_RXn12,PIN_D16,2.5 V,HSMC_RX_N[12],inout
131,LVDS_TXp13,PIN_A23,2.5 V,HSMC_TX_P[13],inout
132,LVDS_RXp13,PIN_D18,2.5 V,HSMC_RX_P[13],inout
133,LVDS_TXn13,PIN_A22,2.5 V,HSMC_TX_N[13],inout
134,LVDS_RXn13,PIN_D17,2.5 V,HSMC_RX_N[13],inout
137,LVDS_TXp14,PIN_C17,2.5 V,HSMC_TX_P[14],inout
138,LVDS_RXp14,PIN_E20,2.5 V,HSMC_RX_P[14],inout
139,LVDS_TXn14,PIN_B17,2.5 V,HSMC_TX_N[14],inout
140,LVDS_RXn14,PIN_E19,2.5 V,HSMC_RX_N[14],inout
143,LVDS_TXp15,PIN_C19,2.5 V,HSMC_TX_P[15],inout
144,LVDS_RXp15,PIN_D21,2.5 V,HSMC_RX_P[15],inout
145,LVDS_TXn15,PIN_C18,2.5 V,HSMC_TX_N[15],inout
146,LVDS_RXn15,PIN_D20,2.5 V,HSMC_RX_N[15],inout
149,LVDS_TXp16,PIN_B21,2.5 V,HSMC_TX_P[16],inout
150,LVDS_RXp16,PIN_B24,2.5 V,HSMC_RX_P[16],inout
151,LVDS_TXn16,PIN_B20,2.5 V,HSMC_TX_N[16],inout
152,LVDS_RXn16,PIN_A24,2.5 V,HSMC_RX_N[16],inout
155,CLKOUT2p,PIN_A17,2.5 V,HSMC_CLKOUT_P[2],output
156,CLKIN2p,PIN_L8,2.5 V,HSMC_CLKIN_P[2],input
157,CLKOUT2n,PIN_A16,2.5 V,HSMC_CLKOUT_N[2],output
158,CLKIN2n,PIN_K9,2.5 V,HSMC_CLKIN_N[2],input
